MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
14-Sep-02,Zimbabwe,Colombo (RPS),7,39,16,0,0,43.75,4,caught,1,296,2002
13-Jul-02,England,Lord's,14,31,19,1,0,73.68,4,bowled,2,295,2002
11-Jul-02,Sri Lanka,Bristol,113,141,102,12,1,110.78,4,caught,1,294,2002
09-Jul-02,England,The Oval,36,60,29,5,0,124.13,4,caught,2,293,2002
06-Jul-02,Sri Lanka,Birmingham,19,35,25,3,0,76,4,caught,2,292,2002
04-Jul-02,England,Chester-le-Street,105,167,108,8,1,97.22,4,not out,1,291,2002
30-Jun-02,Sri Lanka,The Oval,49,123,70,3,1,70,4,caught,2,290,2002
29-Jun-02,England,Lord's,1,12,9,0,0,11.11,4,lbw,2,289,2002
02-Jun-02,West Indies,Port of Spain,65,110,70,3,1,92.85,4,bowled,1,288,2002
29-May-02,West Indies,Bridgetown,34,64,45,2,0,75.55,4,not out,2,287,2002
03-Feb-02,England,Mumbai,12,22,18,1,1,66.66,2,caught,2,286,2002
31-Jan-02,England,Delhi,18,20,16,3,0,112.5,2,caught,2,285,2002
28-Jan-02,England,Kanpur,87,120,67,13,1,129.85,1,not out,2,284,2002
25-Jan-02,England,Chennai,68,110,79,10,0,86.07,1,lbw,2,283,2002
22-Jan-02,England,Cuttack,45,101,60,6,0,75,2,run out,2,282,2002
19-Jan-02,England,Kolkata,36,71,43,6,0,83.72,2,bowled,1,281,2002
26-Oct-01,South Africa,Durban,17,49,42,3,0,40.47,2,bowled,1,280,2001
24-Oct-01,Kenya,Paarl,146,186,132,17,0,110.6,2,caught,1,279,2001
19-Oct-01,South Africa,East London,37,68,35,5,0,105.71,2,bowled,2,278,2001
17-Oct-01,Kenya,Port Elizabeth,3,24,20,0,0,15,2,bowled,2,277,2001
12-Oct-01,Kenya,Bloemfontein,-1,-1,-1,-1,-1,-1,-1,-1,2,276,2001
10-Oct-01,South Africa,Centurion,38,82,57,5,0,66.66,2,caught,1,275,2001
05-Oct-01,South Africa,Johannesburg,101,209,129,9,0,78.29,2,caught,1,274,2001
07-Jul-01,West Indies,Harare,0,10,4,0,0,0,2,caught,2,273,2001
04-Jul-01,West Indies,Harare,122,210,131,12,1,93.12,2,not out,2,272,2001
30-Jun-01,West Indies,Bulawayo,81,191,110,8,0,73.63,2,not out,2,271,2001
27-Jun-01,Zimbabwe,Bulawayo,9,42,27,0,0,33.33,2,caught,2,270,2001
24-Jun-01,Zimbabwe,Harare,70,129,70,13,0,100,2,not out,2,269,2001
06-Apr-01,Australia,Margao,12,17,15,2,0,80,2,caught,1,268,2001
03-Apr-01,Australia,Visakhapatnam,62,68,38,11,0,163.15,2,caught,2,267,2001
31-Mar-01,Australia,Indore,139,197,125,19,0,111.2,2,caught,1,266,2001
28-Mar-01,Australia,Pune,32,35,29,6,1,110.34,2,caught,1,265,2001
25-Mar-01,Australia,Bangalore,35,47,26,6,1,134.61,2,run out,1,264,2001
14-Dec-00,Zimbabwe,Rajkot,27,38,38,5,0,71.05,2,bowled,1,263,2000
11-Dec-00,Zimbabwe,Kanpur,62,113,86,9,0,72.09,2,lbw,2,262,2000
08-Dec-00,Zimbabwe,Jodhpur,146,200,153,15,2,95.42,2,caught,1,261,2000
05-Dec-00,Zimbabwe,Ahmedabad,8,27,20,0,0,40,1,caught,1,260,2000
02-Dec-00,Zimbabwe,Cuttack,44,90,49,7,0,89.79,2,caught,2,259,2000
29-Oct-00,Sri Lanka,Sharjah,5,,11,0,0,45.45,2,caught,2,258,2000
27-Oct-00,Sri Lanka,Sharjah,61,,54,7,0,112.96,2,caught,2,257,2000
26-Oct-00,Zimbabwe,Sharjah,4,,10,0,0,40,1,caught,2,256,2000
22-Oct-00,Zimbabwe,Sharjah,8,,15,1,0,53.33,2,caught,1,255,2000
20-Oct-00,Sri Lanka,Sharjah,101,,140,3,1,72.14,2,run out,1,254,2000
15-Oct-00,New Zealand,Nairobi (Gym),69,103,83,10,1,83.13,2,run out,1,253,2000
13-Oct-00,South Africa,Nairobi (Gym),39,61,50,4,0,78,2,caught,1,252,2000
07-Oct-00,Australia,Nairobi (Gym),38,58,37,3,3,102.7,2,caught,1,251,2000
03-Oct-00,Kenya,Nairobi (Gym),25,55,35,4,0,71.42,2,lbw,2,250,2000
03-Jun-00,Pakistan,Dhaka,25,74,30,4,0,83.33,2,lbw,2,249,2000
01-Jun-00,Sri Lanka,Dhaka,93,174,95,10,0,97.89,2,caught,2,248,2000
30-May-00,Bangladesh,Dhaka,36,55,25,4,2,144,2,caught,2,247,2000
27-Mar-00,South Africa,Sharjah,39,117,68,3,0,57.35,1,run out,1,246,2000
26-Mar-00,Pakistan,Sharjah,10,23,18,1,0,55.55,2,bowled,2,245,2000
23-Mar-00,Pakistan,Sharjah,11,54,28,1,0,39.28,2,lbw,2,244,2000
22-Mar-00,South Africa,Sharjah,5,10,8,0,0,62.5,2,bowled,1,243,2000
19-Mar-00,South Africa,Nagpur,93,119,89,7,4,104.49,2,caught,2,242,2000
17-Mar-00,South Africa,Vadodara,122,195,138,12,0,88.4,2,caught,2,241,2000
15-Mar-00,South Africa,Faridabad,12,48,28,1,0,42.85,2,lbw,1,240,2000
12-Mar-00,South Africa,Jamshedpur,21,39,31,3,0,67.74,2,caught,2,239,2000
09-Mar-00,South Africa,Kochi,26,66,25,4,0,104,2,caught,2,238,2000
30-Jan-00,Australia,Perth,3,23,21,0,0,14.28,2,bowled,1,237,2000
